"employee_number","number_of_hours","reasons","withpay","dateleave"
"employee996","4.5","NO REASON",False,"2017-05-27"
"employee3173","9","Christening (baptismal) of my daughter.",False,"2017-06-12"
"employee1098","9","Personal Matter",True,"2017-06-11"
"employee1087","9","BEREAVEMENT LEAVE",True,"2017-06-08"
"employee1087","9","BEREAVEMENT LEAVE",True,"2017-06-09"
"employee1087","9","BEREAVEMENT LEAVE",True,"2017-06-10"
"employee1087","9","BEREAVEMENT LEAVE",True,"2017-06-11"
"employee1087","9","BEREAVEMENT LEAVE",True,"2017-06-15"
"employee1087","9","BEREAVEMENT LEAVE",True,"2017-06-16"
"employee1087","9","BEREAVEMENT LEAVE",True,"2017-06-17"
"employee1087","9","BEREAVEMENT LEAVE",True,"2017-06-18"
"employee2229","9","SORE EYES",True,"2017-05-11"
"employee2255","9","HYPERTENSION",True,"2017-05-06"
"employee1005","9","GOUT",True,"2017-05-14"
"employee1005","9","GOUT",True,"2017-05-15"
"employee2277","4.5","Check-up",True,"2017-05-18"
"employee2229","9","SORE EYES",True,"2017-05-12"
"employee1044","9","NO REASON",True,"2017-05-26"
"employee1144","9","to attend family gathering",True,"2017-04-01"
"employee1144","9","to attend family gathering",True,"2017-04-02"
"employee1044","9","NO REASON",True,"2017-05-27"
"employee950","9","disabled father hospitalized. w/ supporting papers",False,"2017-05-20"
"employee1017","9","VACATION LEAVE",True,"2017-04-05"
"employee1150","9","PERSONAL",True,"2017-05-15"
"employee3230","9","Acute Gastroenteritis and was hospitalized",True,"2017-05-22"
"employee3230","9","Acute Gastroenteritis and was hospitalized",True,"2017-05-23"
"employee3230","9","Acute Gastroenteritis and was hospitalized",True,"2017-05-24"
"employee1029","9","URTI BACK PAIN",True,"2017-05-22"
"employee1873","9","FAMILY MATTER",True,"2017-05-21"
"employee1089","9","ACCOMPANY MY FATHER TO BUS TERMINAL",True,"2017-05-30"
"employee1078","9","personal matter",True,"2017-05-29"
"employee1079","9","due LBM",True,"2017-05-23"
"employee1955","9","FAMILY MATTER",True,"2017-06-07"
"employee3158","4.5","Annual Vacation Leave",True,"2017-06-04"
"employee3158","4.5","Annual Vacation Leave",False,"2017-06-04"
"employee1145","4.5","Emergency motor breakdown",True,"2017-05-31"
"employee2277","4.5","personal vl",False,"2017-06-02"
"employee1083","9","My daughters enrolment",True,"2017-05-31"
"employee1094","9","VACATION LEAVE W/ PAY..",True,"2017-06-04"
"employee3209","9","family matter",True,"2017-06-01"
"employee950","9","cough and fever",True,"2017-05-27"
"employee950","2.25","cough and fever",True,"2017-05-28"
"employee950","6.75","cough and fever",False,"2017-05-28"
"employee950","9","cough and fever",False,"2017-05-29"
"employee235","9","Stomach ache",True,"2017-05-31"
"employee2249","9","Vacation Leave",True,"2017-06-05"
"employee469","9","SICK LEAVE",True,"2017-05-28"
"employee3095","9","To process of medical assistant of my wife...",True,"2017-06-02"
"employee2219","9","due to back pain",True,"2017-05-30"
"employee1812","4.5","PERSONAL MATTER",True,"2017-05-30"
"employee21","4.5","PersonaL",True,"2017-05-31"
"employee1087","9","BEREAVEMENT LEAVE",True,"2017-06-19"
"employee1087","4.5","BEREAVEMENT LEAVE",True,"2017-06-22"
"employee1087","4.5","BEREAVEMENT LEAVE",False,"2017-06-22"
"employee1087","9","BEREAVEMENT LEAVE",False,"2017-06-23"
"employee469","9","One year death anniversary of my father.",True,"2017-06-11"
"employee469","9","One year death anniversary of my father.",True,"2017-06-13"
"employee1423","9","vacation leave",True,"2017-06-10"
"employee1423","9","vacation leave",True,"2017-06-11"
"employee1494","9","Emergency.",False,"2017-06-03"
"employee3057","9","SCHEDULE VACATION LEAVE",True,"2017-05-31"
"employee421","9","EL-FETCH WIFE AT PEIR 2",True,"2017-05-05"
"employee3057","9","SCHEDULE VACATION LEAVE",True,"2017-06-01"
"employee1445","9","NO REASON",False,"2017-05-17"
"employee1445","9","NO REASON",False,"2017-05-18"
"employee1082","9","MY MOTHER BIRTHDAY",True,"2017-05-05"
"employee1082","9","MY MOTHER BIRTHDAY",True,"2017-05-06"
"employee1082","9","MY MOTHER BIRTHDAY",True,"2017-05-07"
"employee1058","9","To Attend Family Gathering",True,"2017-05-06"
"employee1058","9","To Attend Family Gathering",True,"2017-05-07"
"employee1058","9","To Attend Important Family Matter",True,"2017-05-17"
"employee1058","9","To Attend Important Family Matter",True,"2017-05-18"
"employee1058","9","To Attend Important Family Matter",True,"2017-05-19"
"employee1058","9","To Attend Important Family Matter",True,"2017-05-20"
"employee1445","9","NO REASON",False,"2017-05-19"
"employee1445","9","NO REASON",False,"2017-05-20"
"employee1445","9","NO REASON",False,"2017-05-21"
"employee950","9","disabled father hospitalized. w/ supporting papers",False,"2017-05-21"
"employee984","9","I accompanied my wife for medical treatment",True,"2017-05-22"
"employee1030","9","WIFE BUMPED BY TRICYCLE.",True,"2017-05-23"
"employee1030","9","WIFE BUMPED BY TRICYCLE.",True,"2017-05-24"
"employee1020","9","take care of my children bicouse my wife is in the",True,"2017-05-24"
"employee2259","9","VL",True,"2017-05-28"
"employee987","9","EL NEED TO ATTEND MY SICK WIFE",True,"2017-05-17"
"employee286","9","Personal matter",True,"2017-06-02"
"employee3120","9","vl",True,"2017-06-14"
"employee3120","9","vl",True,"2017-06-15"
"employee1068","9","FAMILY PROBLEM",True,"2017-05-29"
"employee1068","9","FAMILY PROBLEM",False,"2017-05-30"
"employee1068","9","FAMILY MATTER / PROBLEM",False,"2017-06-04"
"employee1068","9","FAMILY MATTER / PROBLEM",False,"2017-06-05"
"employee1068","9","FAMILY MATTER / PROBLEM",False,"2017-06-06"
"employee1083","9","Family matter",True,"2017-05-27"
"employee3173","9","Christening (baptismal) of my daughter.",True,"2017-06-13"
"employee509","9","Vacation leave",True,"2017-06-01"
"employee1509","9","COUGH&COLD",False,"2017-05-25"
"employee1509","9","COUGH&COLD",False,"2017-05-26"
"employee1101","9","use VL",True,"2017-05-31"
"employee292","9","graduation of daughter",True,"2017-06-05"
"employee1499","9","to come my wife due to monthly check up (pregnant)",True,"2017-05-29"
"employee1111","9","Family Matter",True,"2017-06-11"
"employee1111","9","Family matter",False,"2017-06-12"
"employee1492","9","DUE TO MINOR FLU",True,"2017-05-27"
"employee554","9","EL ATTEND MY WIFE PREGNANT FALLS ALARM",False,"2017-05-29"
"employee517","9","Vacation leave.",True,"2017-06-08"
"employee517","9","Vacation leave.",True,"2017-06-11"
"employee517","9","Vacation leave.",True,"2017-06-13"
"employee517","9","Vacation leave.",True,"2017-06-14"
"employee1445","9","NO REASON",False,"2017-05-24"
"employee1445","9","NO REASON",False,"2017-05-25"
"employee1445","9","NO REASON",False,"2017-05-26"
"employee1445","9","NO REASON",False,"2017-05-27"
"employee1445","9","NO REASON",False,"2017-05-28"
"employee1068","9","PERSONAL",True,"2017-05-11"
"employee1041","9","V/L WITH PAY
PERSONAL MATTER",True,"2017-05-10"
"employee582","9","Personal Matter",True,"2017-04-17"
"employee582","9","Personal Matter",True,"2017-04-18"
"employee582","9","Personal Matter",True,"2017-04-19"
"employee3067","9","personal - vacation leave",True,"2017-04-20"
"employee3067","9","personal - vacation leave",True,"2017-04-21"
"employee951","9","VACATION",True,"2017-05-26"
"employee951","9","VACATION",True,"2017-05-27"
"employee2440","9","regular vacation leave to attend to impt matters",True,"2017-05-15"
"employee1069","9","EL-PERSONAL MATTER",True,"2017-05-09"
"employee1381","9","out of town vacation with my family",True,"2017-04-19"
"employee1381","9","out of town vacation with my family",True,"2017-04-20"
"employee1381","9","out of town vacation with my family",True,"2017-04-21"
"employee1381","9","out of town vacation with my family",True,"2017-04-22"
"employee1381","9","out of town vacation with my family",True,"2017-04-23"
"employee1054","9","PERSONAL MATTER",True,"2017-05-02"
"employee1054","9","PERSONAL MATTER",True,"2017-05-09"
"employee1520","9","Need rest",True,"2017-04-27"
"employee1054","9","COUGH & FLU",True,"2017-05-10"
"employee56","9","VACATION LEAVE",True,"2017-05-22"
"employee2257","9","VACATION LEAVE",True,"2017-05-02"
"employee951","9","VACATION",True,"2017-05-28"
"employee951","9","VACATION",True,"2017-05-29"
"employee951","9","VACATION",True,"2017-05-30"
"employee1175","9","PERSONAL MATTER",True,"2017-05-28"
"employee987","9","EL DUE TO SON RUSHED TO HOSPITAL",True,"2017-05-26"
"employee987","9","EL DUE TO SON RUSHED TO HOSPITAL",True,"2017-05-27"
"employee217","9","PERSONAL MATTER",True,"2017-05-22"
"employee3227","4.5","To accompany my mother applying for a passport.",True,"2017-06-01"
"employee1773","9","GO TO PROVINCE..",True,"2017-06-19"
"employee972","9","IMPORTANT FAMILY MATTER",True,"2017-05-27"
"employee517","9","Vacation leave.",True,"2017-06-15"
"employee239","9","Vacation",True,"2017-06-10"
"employee239","9","Vacation",True,"2017-06-11"
"employee239","9","Vacation",True,"2017-06-13"
"employee3143","9","Personal",True,"2017-06-05"
"employee195","9","VL IMPORTANT MATTER",False,"2017-06-10"
"employee195","9","VL IMPORTANT MATTER",False,"2017-06-11"
"employee1028","9","VACATION",True,"2017-06-11"
"employee1028","9","VL",False,"2017-06-12"
"employee421","9","DUE TO BARANGAY HEARING",False,"2017-06-03"
"employee1019","9","to settle impt.matter",False,"2017-06-13"
"employee1019","9","to settle impt.matter",False,"2017-06-14"
"employee1873","9","PERSONAL MATTER",True,"2017-06-09"
"employee1050","9","vacation leave",True,"2017-06-13"
"employee463","9","VL",True,"2017-05-19"
"employee1445","9","NO REASON",False,"2017-05-31"
"employee1158","4.5","to fetch my mother at the bus staition in cubao",True,"2017-05-19"
"employee1013","9","BROUGHT MY WIFE TO DOCTOR",True,"2017-05-24"
"employee1078","4.5","PERSONAL MATTER",True,"2017-05-26"
"employee1773","9","go to province..",True,"2017-06-16"
"employee1888","9","VACATION LEAVE",True,"2017-05-12"
"employee1888","9","VACATION LEAVE",True,"2017-05-13"
"employee1888","9","VACATION LEAVE",True,"2017-05-14"
"employee1888","9","VACATION LEAVE",True,"2017-05-15"
"employee981","9","ACCOMPANY MY SICK WIFE",False,"2017-05-27"
"employee2229","9","avail vacation leave 
trip to USA",True,"2017-06-27"
"employee2229","9","avail vacation leave 
trip to USA",True,"2017-06-28"
"employee2229","9","avail vacation leave 
trip to USA",True,"2017-06-29"
"employee1067","9","ATTENDING TO 18th BIRTHDAY OF MY COUSIN",True,"2017-05-09"
"employee1029","9","SICK LEAVE",True,"2017-05-12"
"employee1029","9","SICK LEAVE",True,"2017-05-13"
"employee1029","9","SICK LEAVE",True,"2017-05-14"
"employee954","9","PERSONAL MATTER",True,"2017-05-16"
"employee954","9","PERSONAL MATTER",True,"2017-05-17"
"employee954","9","PERSONAL MATTER",True,"2017-05-18"
"employee954","9","PERSONAL MATTER",True,"2017-05-19"
"employee2229","9","avail vacation leave 
trip to USA",True,"2017-06-30"
"employee2229","9","avail vacation leave 
trip to USA",True,"2017-07-03"
"employee2229","9","avail vacation leave 
trip to USA",True,"2017-07-04"
"employee2229","9","avail vacation leave 
trip to USA",True,"2017-07-05"
"employee2229","9","avail vacation leave 
trip to USA",True,"2017-07-06"
"employee2229","9","avail vacation leave 
trip to USA",True,"2017-07-07"
"employee2229","9","avail vacation leave 
trip to USA",True,"2017-07-10"
"employee1104","4.5","HALF DAY LEAVE",True,"2017-06-09"
"employee1104","9","VACATION LEAVE",True,"2017-06-11"
"employee195","9","VL / CANCELLED LEAVE MAY 27,2017 TO MAY 28,2017",True,"2017-05-14"
"employee195","9","VL / CANCELLED LEAVE MAY 27,2017 TO MAY 28,2017",True,"2017-05-15"
"employee989","9","annual vacation",True,"2017-05-07"
"employee989","9","annual vacation",True,"2017-05-08"
"employee978","9","aVAIL ANNUAL VL",True,"2017-05-13"
"employee978","9","aVAIL ANNUAL VL",True,"2017-05-14"
"employee978","9","AVAIL AANUAL VL",True,"2017-05-20"
"employee978","9","AVAIL AANUAL VL",True,"2017-05-21"
"employee1043","9","acute upper respiratory tract infection",True,"2017-06-01"
"employee1437","9","family matters",True,"2017-06-06"
"employee1526","9","Operation, removal of stone in Galbladder.....",False,"2017-06-07"
"employee1526","9","Operation, removal of stone in Galbladder.....",False,"2017-06-08"
"employee1526","9","Operation, removal of stone in Galbladder.....",False,"2017-06-09"
"employee976","9","hemorhoids",True,"2017-06-02"
"employee976","9","hemorhoids",True,"2017-06-03"
"employee1050","9","vacation leave",True,"2017-06-14"
"employee1011","9","VACATION LEAVE",False,"2017-06-18"
"employee1011","9","VACATION LEAVE",False,"2017-06-19"
"employee1011","9","VACATION LEAVE",False,"2017-06-20"
"employee1007","9","VACATION LEAVE",True,"2017-05-03"
"employee3168","9","vacation leave",True,"2017-05-09"
"employee3168","9","vacation leave",True,"2017-05-10"
"employee3168","9","vacation leave",True,"2017-05-11"
"employee2489","9","will attend seminar",True,"2017-05-05"
"employee420","9","vacation leave",True,"2017-05-19"
"employee981","9","due to my wifes schedule for surgery",False,"2017-05-20"
"employee981","9","due to my wifes schedule for surgery",False,"2017-05-21"
"employee981","9","due to my wifes schedule for surgery",False,"2017-05-22"
"employee1067","2.25","VL",True,"2017-05-12"
"employee1067","6.75","VL",False,"2017-05-12"
"employee261","9","PERSONAL MATTER",True,"2017-05-08"
"employee1067","9","VL",False,"2017-05-13"
"employee286","9","personal matter",True,"2017-05-05"
"employee286","9","personal matter",True,"2017-05-06"
"employee1121","4.5","HALF V/L
Important matters.",True,"2017-05-03"
"employee1006","9","MOTHER DEATH ANNIVERSARY",True,"2017-05-07"
"employee1123","9","Going to province, Quezon.",True,"2017-05-19"
"employee1067","9","VL",False,"2017-05-14"
"employee3143","9","Personal",True,"2017-05-04"
"employee1411","9","vacation leave",True,"2017-05-03"
"employee1040","9","vl",True,"2017-05-05"
"employee981","9","due to my wifes schedule for surgery",False,"2017-05-23"
"employee1084","9","part of annual vacation leave",True,"2017-05-07"
"employee1084","9","part of annual vacation leave",True,"2017-05-08"
"employee1080","9","Annual leave",True,"2017-05-27"
"employee1080","9","Annual leave",True,"2017-05-28"
"employee1080","9","Annual leave",True,"2017-05-29"
"employee1086","9","V/L",True,"2017-05-09"
"employee1086","9","V/L",True,"2017-05-10"
"employee1031","9","VL",False,"2017-05-02"
"employee1006","9","HYPERTENSION",True,"2017-05-05"
"employee435","9","PERSONAL MATTER",True,"2017-05-02"
"employee981","9","due to my wifes schedule for surgery",False,"2017-05-24"
"employee510","9","FAMILY MATTER",True,"2017-05-28"
"employee246","9","vacation leave with family reunion",True,"2017-05-05"
"employee1429","9","v/L",True,"2017-05-07"
"employee3117","9","V/L",True,"2017-05-06"
"employee3117","9","V/L",True,"2017-05-07"
"employee470","4.5","Personal",True,"2017-05-05"
"employee436","9","Personal Matter",True,"2017-05-04"
"employee436","9","Personal Matter",True,"2017-05-05"
"employee2264","9","TO ATTEND FAMILY MATTERS",True,"2017-05-28"
"employee1011","9","V/L",False,"2017-05-21"
"employee1073","9","EMERGENCY LEAVE",True,"2017-05-24"
"employee511","9","#26 extraction done by P.D 5/20/17",True,"2017-05-23"
"employee511","6.75","#26 extraction done by P.D 5/20/17",True,"2017-05-24"
"employee511","2.25","#26 extraction done by P.D 5/20/17",False,"2017-05-24"
"employee435","9","Personal matter.",True,"2017-05-29"
"employee429","9","VL",True,"2017-05-20"
"employee2249","9","VACATION LEAVE",True,"2017-05-20"
"employee1695","9","follow up check -up of my wife",True,"2017-05-03"
"employee3120","9","VL",True,"2017-05-09"
"employee3120","9","VL",True,"2017-05-10"
"employee3120","9","VL",True,"2017-05-11"
"employee595","9","NO REASON",True,"2017-05-20"
"employee416","9","My Mothers Birthday",True,"2017-05-22"
"employee416","9","My Mothers Birthday",True,"2017-05-23"
"employee976","9","THERAPHY SESSION OF MY WIFE",True,"2017-05-07"
"employee1085","9","WOUND IN INDEX FINGER",True,"2017-05-07"
"employee1864","9","VACATION LEAVE",True,"2017-05-06"
"employee1864","9","VACATION LEAVE",True,"2017-05-07"
"employee1864","9","VACATION LEAVE",True,"2017-05-08"
"employee1864","9","VACATION LEAVE",True,"2017-05-09"
"employee1864","9","VACATION LEAVE",True,"2017-05-10"
"employee438","9","MY GRAND DAUGHTERS BIRTHDAY",True,"2017-05-08"
"employee1039","9","FOR CHECK OF MY DAUGTHER",True,"2017-05-06"
"employee1020","9","Attend burial of aunt of my wife in Batangas",True,"2017-05-04"
"employee1085","6.75","WOUND IN INDEX FINGER",True,"2017-05-08"
"employee1085","2.25","WOUND IN INDEX FINGER",False,"2017-05-08"
"employee1093","9","Family Reunion",True,"2017-05-09"
"employee1093","9","Family Reunion",True,"2017-05-10"
"employee2515","9","avail vacation leave",True,"2017-05-06"
"employee595","9","NO REASON",True,"2017-05-21"
"employee1081","9","Stranded due to overload of passenger ....",True,"2017-05-24"
"employee1070","9","due to moving to a new house",True,"2017-05-30"
"employee1070","9","due to house blessings",True,"2017-06-02"
"employee1024","4.5","VL",True,"2017-05-25"
"employee3171","9","medication",False,"2017-05-10"
"employee3171","9","medication",False,"2017-05-11"
"employee1465","9","vl",True,"2017-05-05"
"employee1063","9","PAIN (R) KNEE",True,"2017-05-04"
"employee1773","9","going to province.",True,"2017-05-08"
"employee2257","9","Hyperacidity (clearance secured from Medical)",True,"2017-05-03"
"employee2294","9","PERSONAL MATTER",True,"2017-05-18"
"employee1010","9","DUE TO MY MOTHER NOT FEELING WELL",True,"2017-05-22"
"employee942","9","FAMILY OUTING",True,"2017-05-06"
"employee942","9","FAMILY OUTING",True,"2017-05-07"
"employee1509","4.5","HALF-DAY. IMPORTANT BANK TRANSACTION.",True,"2017-05-02"
"employee1077","9","study reasons",True,"2017-05-30"
"employee1077","9","study reasons",True,"2017-05-31"
"employee514","9","Vacation Leave",True,"2017-06-08"
"employee1025","9","VACATION LEAVE",True,"2017-06-07"
"employee1051","9","VL
 (change date from June 02)",True,"2017-06-07"
"employee981","9","VACATION",False,"2017-06-06"
"employee1003","9","vacation leave",True,"2017-06-08"
"employee1003","9","vacation leave",True,"2017-06-09"
"employee1066","9","attend to important matter",False,"2017-06-05"
"employee1057","9","lbm",True,"2017-06-01"
"employee1057","9","accompany my wife for check up",True,"2017-06-04"
"employee1058","9","To Attend Important Family Matter",True,"2017-07-28"
"employee1077","9","study reasons",True,"2017-06-01"
"employee1077","9","study reasons",True,"2017-06-02"
"employee506","9","VL",True,"2017-05-02"
"employee3171","9","FOR MEDICATION",True,"2017-05-04"
"employee1077","9","study reasons",True,"2017-06-05"
"employee1499","9","PERSONAL MATTER",True,"2017-05-05"
"employee1499","9","PERSONAL MATTER",True,"2017-05-06"
"employee506","9","VL",True,"2017-05-03"
"employee3062","9","used my vl",True,"2017-06-13"
"employee3062","9","used my vl",True,"2017-06-14"
"employee3062","9","used my vl",True,"2017-06-15"
"employee3062","9","used my vl",True,"2017-06-16"
"employee1518","9","OUT OF TOWN",True,"2017-05-05"
"employee210","9","PERSONAL MATTER",True,"2017-05-05"
"employee210","9","PERSONAL MATTER",True,"2017-05-08"
"employee210","9","PERSONAL MATTER",True,"2017-05-09"
"employee210","9","PERSONAL MATTER",True,"2017-05-10"
"employee210","9","PERSONAL MATTER",True,"2017-05-11"
"employee210","9","PERSONAL MATTER",True,"2017-05-12"
"employee210","9","PERSONAL MATTER",True,"2017-05-15"
"employee55","9","Will attend school seminar (requirement)",False,"2017-05-12"
"employee2823","4.5","SCHOOL ENROLLMENT",True,"2017-05-04"
"employee1030","9","vacation leave",True,"2017-05-10"
"employee246","9","EL CHARGE TO VL",True,"2017-05-16"
"employee429","9","2 days seminar my wife. on may,5 6, 2017.",True,"2017-05-05"
"employee429","9","2 days seminar my wife. on may,5 6, 2017.",True,"2017-05-06"
"employee2253","9","family matter",True,"2017-05-27"
"employee1043","9","Important matter",True,"2017-05-06"
"employee246","9","EMERGENCY LEAVE
ENROLLMENT OF MY SON/ORIENTATION",True,"2017-05-04"
"employee464","9","E.L DUE TO MY SON WAS SICK ADMITTING TO HOSPITAL",True,"2017-05-26"
"employee1019","9","SETTLE IMPORTANT MATTER",False,"2017-05-29"
