"position_id","pos_description"
149,"QUALITY ASSURANCE OFFICER"
150,"QUALITY CONTROL INSPECTOR"
151,"QUALITY STANDARDS OFFICER"
152,"RAMP 10"
153,"SAFETY SPECIALIST"
154,"SAFETY SPECIALIST (Service Engagement)"
155,"SECURITY 3"
156,"SECURITY SPECIALIST"
157,"SR MAINTENANCE ANALYST"
158,"STAFF ASSISTANT"
159,"STATION 3"
160,"STATISTICS CLERK"
161,"STATISTICS CLERK - PAX"
162,"SYSTEM ADMINISTRATOR"
163,"SYSTEMS DEVELOPER"
164,"TECHNICAL EXPEDITER"
165,"TRAINING 3"
166,"TRAINING SPECIALIST"
167,"TREASURER"
168,"ULD CONTROLLER"
169,"VICE PRESIDENT FIN"
170,"WORK PLANNER"
171,"WORK SCHEDULER"
172,"BAGGAGE SORTING SUPERVISOR"
173,"CRO"
174,"CSA"
175,"CSA - 1"
176,"CUSTOMER SERVICE AGENT 3"
177,"DIVISION MANAGER"
178,"DUTY MANAGER (SCU)"
179,"EXECUTIVE OFFICER FOR SYSTEMS & PROCEDURE"
180,"GRND EQPT MASTER TECH."
181,"GROUND EQUIPMENT MECHANIC"
182,"GROUND EQUIPMENT OPERATOR"
183,"GROUND EQUIPMENT OPERATOR 1"
184,"GROUND EQUIPMENT OPERATOR 2"
185,"GROUND EQUIPMENT OPERATOR 3"
186,"GROUND EQUIPMENT TECH./UTILITY"
187,"GROUND EQUIPMENT TECHNICIAN"
188,"GROUND EQUIPMENT TECHNICIAN B"
189,"Junior CRO"
190,"LM - SUPERVISOR"
191,"LOAD CONTROLLER (CSA-4)"
192,"LOAD CONTROLLER(PSD)"
193,"Mabuhay Lounge CSA"
194,"RAMP SUPERVISOR"
195,"SECURITY OFFICER"
196,"SENIOR CUSTOMER RELATIONS OFFICER"
197,"SENIOR HR SPECIALIST"
198,"STATION MANAGER"
199,"SUPERVISOR"
200,"SUPERVISOR - MOTORPOOL"
201,"SUPERVISOR (CSD)"
202,"SUPERVISOR (LC)"
203,"SUPERVISOR (PSD)"
204,"FMD TECHNICAL ASSISTANT"
205,"SUPERVISOR-E&I"
206,"EXECUTIVE OPERATIONS AUDITOR"
208,"2ND COMMIS DE CUISINE"
209,"GEO 2"
210,"ACCOUNT EXECUTIVE"
211,"ACCOUNT EXECUTIVE - NUTRITIONIST & DIETITIAN"
212,"ACCOUNTS PAYABLE CLERK"
213,"ADMIN ASSISTANT - INDUSTRIAL ENGINEER"
214,"ADMINISTRATIVE ASSISTANT"
215,"BILLING ANALYST"
217,"GEO3"
207,"1ST COMMIS DE CUISINE"
218,"CATERING ATTENDANT"
220,"SLPI EXECUTIVE ASSISTANT"
219,"SKPI EXECUTIVE ASSISTANT"
221,"SR. SYSTEM DEVELOPER"
222,"SA-SENIOR SUPERVISOR"
223,"SA-SUPERVISOR"
224,"SA-SPECIALIST"
225,"BILLING SUPERVISOR"
227,"POLLUTION CONTROL OFFICER"
228,"SLPI SERVICE AGREEMENT"
94,"CARGO REPRESENTATIVE C"
230,"UNIT MANAGER"
231,"SEAMSTRESS"
232,"SAFETY SPECIALIST"
233,"RECORD MANAGEMENT SPECIALIST"
234,"SOUS CHEF - SERVICE LEVEL AGREEMENT"
235,"CHEF DE PARTIE-SERVICE LEVEL AGREEMENT"
236,"ADMIN/CSA"
226,"POLLUTION CONTROL OFFICER1"
238,"SR. TIMEKEEPER"
239,"SR FMD MANAGER"
240,"ICT OFFICER"
229,"RAMP AGENT"
241,"CCTV OPERATOR"
242,"HEAD - HR/IT/DPO"
237,"MANIFESTING CLERK"
