"employee_number","joblevel","jobstatus","datehire","paymode","history","client_code","department_code","basic_rate","date_jobstatus","time_updated","position_id","position_level"
"employee823","REGULAR","1","2011-10-10","2",True,"MNL-PSD","MNL-PSD","23760","2011-10-10","2017-01-09 15:52:58",105,4
"employee616","REGULAR","1","2011-10-11","2",True,"MNL-CSD","DOMESTIC","16960","2011-10-11","2016-11-11 15:30:32",93,4
"employee669","REGULAR","2","2011-09-11","2",True,"MNL-CSD","DOMESTIC","16960","2016-12-31","2017-01-16 18:05:48",94,4
"employee823","REGULAR","1","2011-10-10","2",True,"MNL-PSD","MNL-PSD","23760","2011-10-10","2017-01-27 14:39:45",105,4
"employee2306","PROBATIONARY","1","2018-06-16","2",True,"CEB-PSD","CEB-PSD","10000","2018-06-16","2018-07-02 09:01:37",100,4
"employee2283","PROBATIONARY","1","2018-06-16","2",True,"CEB-PSD","CEB-PSD","10000","2018-06-16","2018-07-02 09:01:50",100,4
"employee2282","PROBATIONARY","1","2018-06-16","2",True,"CEB-PSD","CEB-PSD","10521.66","2018-06-16","2018-09-01 10:11:27",100,4
"employee69","PROBATIONARY","1","2017-01-16","2",True,"MNL-CBS","MNL-CBS","12546.07","2017-01-16","2017-01-27 14:40:30",99,4
"employee851","REGULAR","1","2011-11-16","2",True,"MNL-RMP","MNL-RMP","13657","2011-11-16","2017-01-11 11:33:35",123,4
"employee851","REGULAR","1","2011-11-16","2",True,"MNL-RMP","MNL-RMP","13657","2011-11-16","2017-01-27 14:40:04",123,4
"employee1882","REGULAR","1","2015-03-26","2",True,"MNL-RMP","MNL-RMP","12977.54","2015-03-26","2017-01-11 13:25:23",123,4
"employee80","REGULAR","1","2016-02-18","2",True,"MNL-CSD","DOMESTIC","12546.07","2016-02-18","2016-11-11 15:30:32",93,4
"employee629","REGULAR","1","2016-02-18","2",True,"MNL-CSD","DOMESTIC","12546.07","2016-02-18","2016-11-11 15:30:32",93,4
"employee307","PROBATIONARY","1","2016-08-16","2",True,"CEB-PSD","CEB-PSD","10000","2016-08-16","2017-01-19 10:22:46",100,4
"employee2230","PROBATIONARY","1","2017-01-16","2",True,"MNL-CBS","MNL-CBS","12546.07","2017-01-16","2017-01-27 14:53:20",99,4
"employee413","PROBATIONARY","1","2017-01-16","2",True,"MNL-PSD","MNL-PSD","12546.07","2017-01-16","2017-01-28 09:26:46",100,4
"employee412","PROBATIONARY","1","2017-01-16","2",True,"MNL-PSD","MNL-PSD","12546.07","2017-01-16","2017-01-28 09:33:03",100,4
"employee431","PROBATIONARY","1","2017-01-16","2",True,"MNL-PSD","MNL-PSD","12546.07","2017-01-16","2017-01-28 09:44:03",100,4
"employee425","PROBATIONARY","1","2017-01-16","2",True,"MNL-PSD","MNL-PSD","12546.07","2017-01-16","2017-01-28 09:38:23",100,4
"employee6","PROBATIONARY","1","2017-01-16","2",True,"MNL-PSD","MNL-PSD","12546.07","2017-01-16","2017-01-27 17:31:43",100,4
"employee905","PROBATIONARY","1","2016-02-24","2",True,"MNL-RMP","MNL-RMP","13885.97","2016-02-24","2017-06-01 14:27:41",123,4
"employee749","REGULAR","2","2012-07-10","2",True,"MNL-PSD","MNL-PSD","12546.07","2016-10-30","2017-01-27 14:40:50",100,4
"employee406","REGULAR","2","2016-02-15","2",False,"SLPI-PW","PW","12546.07","2016-09-15","2017-01-27 14:41:32",56,4
"employee2284","PROBATIONARY","1","2018-06-16","2",True,"CEB-PSD","CEB-PSD","10000","2018-06-16","2018-07-02 09:02:49",100,4
"employee302","PROBATIONARY","1","2016-04-16","2",True,"CEB-PSD","CEB-PSD","10000","2016-04-16","2017-01-12 11:13:49",100,4
"employee2303","PROBATIONARY","1","2018-06-16","2",True,"CEB-PSD","CEB-PSD","10000","2018-06-16","2018-07-02 09:05:43",100,4
"employee2305","PROBATIONARY","1","2018-06-16","2",True,"CEB-PSD","CEB-PSD","10000","2018-06-16","2018-07-02 09:05:53",100,4
"employee2284","PROBATIONARY","1","2018-06-16","2",True,"CEB-PSD","CEB-PSD","10000","2018-06-16","2018-07-02 09:05:14",100,4
"employee2214","REGULAR","1","2011-09-29","2",True,"MNL-CSD","INTERNATIONAL","27000","2011-09-29","2016-11-11 15:30:34",86,10
"employee2230","PROBATIONARY","1","2017-01-16","2",True,"MNL-CBS","MNL-CBS","12546.07","2017-01-16","2017-01-27 14:54:00",99,4
"employee2076","PROBATIONARY","1","2017-01-16","2",True,"MNL-CBS","MNL-CBS","12546.07","2017-01-16","2017-01-27 15:02:03",99,4
"employee2145","REGULAR","1","2012-03-01","2",True,"SLPI-AF","ACCTNG","13317","2012-03-01","2016-11-11 15:30:25",16,4
"employee1812","REGULAR","1","2012-02-06","2",True,"SLPI-AF","ACCTNG","30000","2012-02-06","2016-11-11 15:30:25",121,18
"employee108","REGULAR","1","2012-01-09","2",True,"SLPI-AF","ACCTNG","33600","2012-01-09","2016-11-11 15:30:25",142,18
"employee78","PROBATIONARY","1","2016-09-20","2",True,"MNL-CSD","ADMIN","12546.07","2016-09-20","2016-11-11 15:30:26",48,4
"employee3151","REGULAR","1","2011-10-01","2",True,"MNL-PSD","MNL-PSD","20000","2011-10-01","2017-01-12 13:29:37",199,4
"employee962","REGULAR","1","2011-10-01","2",True,"SLPI-SM","OSM","1","2011-10-01","2017-01-12 12:34:52",198,9
"employee522","PROBATIONARY","1","2017-01-05","2",True,"MNL-CSD","MNL-CSD","12977.54","2017-01-05","2017-01-12 11:46:04",89,4
"employee433","PROBATIONARY","1","2017-01-16","2",True,"MNL-PSD","MNL-PSD","12546.07","2017-01-16","2017-01-28 09:58:02",100,4
"employee302","PROBATIONARY","1","2016-04-16","2",True,"CEB-PSD","CEB-PSD","10000","2016-04-16","2017-01-27 14:42:02",100,4
"employee297","PROBATIONARY","1","2016-08-16","2",True,"CEB-PSD","CEB-PSD","10000","2016-08-16","2017-01-27 14:42:54",100,4
"employee432","PROBATIONARY","1","2017-01-16","2",True,"MNL-CSD","MNL-CSD","12546.07","2017-01-16","2017-01-28 10:56:36",94,4
"employee522","PROBATIONARY","1","2017-01-05","2",True,"MNL-CSD","MNL-CSD","12977.54","2017-01-05","2017-01-12 11:48:40",89,4
"employee97","REGULAR","1","2012-07-02","2",True,"MNL-CSD","ADMIN","12546.07","2012-07-02","2017-01-09 11:30:57",94,4
"employee1764","REGULAR","1","2016-01-01","2",True,"SLPI-EO","CONFI","1","2016-01-01","2017-01-12 12:44:03",145,9
"employee419","REGULAR","1","2011-10-01","2",True,"SLPI-SM","SUPPORT","21600","2011-10-01","2016-11-11 15:30:46",158,4
"employee630","REGULAR","1","2011-10-07","2",False,"MNL-CSD","DOMESTIC","30689.03","2011-10-07","2018-12-14 17:03:27",199,10
"employee1857","PROBATIONARY","1","2018-06-16","2",True,"CEB-PSD","CEB-PSD","10521.66","2018-06-16","2018-09-01 10:27:05",100,4
"employee276","REGULAR","1","2011-10-24","2",True,"CEB-PSD","CEB-PSD","12960","2011-10-24","2017-01-06 17:33:41",100,4
"employee304","REGULAR","1","2011-10-01","2",True,"CEB-PSD","CEB-PSD","15552","2011-10-01","2017-01-12 16:12:33",199,10
"employee1465","REGULAR","1","2012-03-16","2",True,"SKPI-CP","CP","16800","2012-03-16","2016-12-21 11:43:30",18,16
"employee962","REGULAR","1","2011-10-01","2",True,"SLPI-SM","CONFI","1","2011-10-01","2016-11-11 15:30:30",159,9
"employee1867","REGULAR","1","2011-11-19","2",True,"SKPI-CP","CP","16800","2011-11-19","2016-12-21 08:47:25",18,16
"employee1123","REGULAR","1","2011-12-23","2",True,"SKPI-FM","FM","15900","2011-12-23","2016-12-21 09:49:53",20,14
"employee193","REGULAR","2","2012-04-17","2",True,"MNL-SC","MSC","15900","2016-10-20","2016-12-27 09:48:56",132,4
"employee639","REGULAR","1","2012-10-08","2",True,"MNL-CSD","DOMESTIC","13685.12","2012-10-08","2017-05-31 20:36:40",94,4
"employee962","REGULAR","1","2011-10-01","2",True,"SLPI-SM","CONFI","1","2011-10-01","2017-01-12 12:40:41",198,9
"employee611","REGULAR","1","2012-02-01","2",True,"MNL-CSD","DOMESTIC","28047.75","2012-02-01","2017-11-15 10:55:15",199,10
"employee419","REGULAR","2","2011-10-01","2",True,"SLPI-SM","SUPPORT","21600","2016-10-20","2016-12-27 09:51:42",158,4
"employee1198","REGULAR","1","2011-10-01","2",True,"CEB-PSD","CEB-PSD","31482","2011-10-01","2017-06-01 18:08:21",199,10
"employee613","REGULAR","1","2012-01-20","2",True,"MNL-CBS","MNL-CBS","23320","2012-01-20","2016-12-27 10:07:58",199,10
"employee1480","REGULAR","1","2011-10-11","2",True,"MNL-CSD","INTERNATIONAL","16960","2011-10-11","2017-01-09 11:48:04",94,4
"employee1783","REGULAR","1","2013-05-25","2",True,"MNL-CSD","INTERNATIONAL","12546.07","2013-05-25","2016-12-27 10:18:48",94,4
"employee753","REGULAR","1","2011-11-21","2",True,"MNL-GEM","MNL-GEM","18360","2011-11-21","2017-01-06 17:37:59",116,4
"employee1163","REGULAR","1","2011-10-01","2",False,"CEB-PSD","CEB-PSD","31145.06","2011-10-01","2018-09-04 15:09:52",199,10
"employee2049","REGULAR","1","2011-10-07","2",False,"CEB-PSD","CEB-PSD","26921.66","2011-10-07","2018-09-04 15:11:54",190,10
"employee1760","REGULAR","1","2011-09-19","2",False,"MNL-CSD","INTERNATIONAL","23883.83","2011-09-19","2018-12-14 13:31:04",94,4
"employee1190","REGULAR","1","2011-10-01","2",True,"CEB-PSD","CEB-PSD","32003.66","2011-10-01","2018-09-04 15:38:22",199,10
"employee639","REGULAR","1","2012-10-08","2",True,"MNL-CSD","DOMESTIC","12546.07","2012-10-08","2016-11-11 15:30:31",93,4
"employee630","REGULAR","1","2011-10-07","2",True,"MNL-CSD","DOMESTIC","27560","2011-10-07","2016-11-11 15:30:32",86,10
"employee665","REGULAR","1","2012-07-02","2",True,"MNL-CSD","DOMESTIC","12546.07","2012-07-02","2016-11-11 15:30:32",93,4
"employee1780","REGULAR","1","2013-04-01","2",True,"MNL-CSD","DOMESTIC","12546.07","2013-04-01","2016-12-27 10:20:00",94,4
"employee1780","REGULAR","1","2013-04-01","2",True,"MNL-CSD","DOMESTIC","12546.07","2013-04-01","2016-11-11 15:30:32",93,4
"employee611","REGULAR","1","2012-02-01","2",True,"MNL-CSD","DOMESTIC","25000","2012-02-01","2016-11-11 15:30:32",86,10
"employee1764","REGULAR","1","2016-01-01","2",True,"SLPI-EO","EO-SLPI","1","2016-01-01","2016-11-11 15:30:32",145,9
"employee2045","REGULAR","1","2013-01-21","2",True,"MNL-CSD","EQUIPMENT","13462.67","2013-01-21","2016-11-11 15:30:32",89,4
"employee2179","REGULAR","2","2011-10-01","2",False,"MNL-GEM","MNL-GEM","23","2016-05-23","2016-12-08 15:22:25",116,4
"employee181","REGULAR","1","2011-12-15","2",True,"MNL-PSD","MNL-PSD","36835.75","2011-12-15","2017-11-16 09:57:19",19,10
"employee1427","REGULAR","1","2011-12-23","2",True,"SKPI-SS","SS","38016","2011-12-23","2017-05-22 16:38:28",60,15
"employee7","REGULAR","1","2011-10-24","2",True,"MNL-CSD","EQUIPMENT","21200","2011-10-24","2016-11-11 15:30:33",89,4
"employee700","REGULAR","1","2014-08-11","2",True,"MNL-CSD","EQUIPMENT","12977.54","2014-08-11","2016-11-11 15:30:33",89,4
"employee622","REGULAR","1","2014-09-09","2",True,"MNL-CSD","EQUIPMENT","12977.54","2014-09-09","2016-11-11 15:30:33",89,4
"employee668","REGULAR","1","2011-09-29","2",True,"MNL-CSD","EQUIPMENT","21200","2011-09-29","2016-11-11 15:30:33",89,4
"employee660","REGULAR","1","2015-12-11","2",True,"MNL-CSD","EQUIPMENT","12977.54","2015-12-11","2016-11-11 15:30:33",89,4
"employee994","REGULAR","1","2011-10-01","2",False,"CEB-PSD","CEB-PSD","29411.66","2011-10-01","2018-09-04 15:14:41",199,10
"employee3151","REGULAR","1","2011-10-01","2",False,"MNL-PSD","MNL-PSD","23199.83","2011-10-01","2018-12-14 13:17:16",199,4
"employee2045","REGULAR","1","2013-01-21","2",True,"MNL-CSD","EQUIPMENT","14952.81","2013-01-21","2017-11-15 10:01:07",89,4
"employee1147","REGULAR","1","2011-10-01","2",True,"CEB-PSD","CEB-PSD","23205.66","2011-10-01","2018-09-04 15:19:43",105,4
"employee1753","REGULAR","1","2013-01-21","2",True,"MNL-CSD","EQUIPMENT","16200","2013-01-21","2016-11-11 15:30:33",44,4
"employee598","PROBATIONARY","1","2016-06-30","2",True,"MNL-CSD","EQUIPMENT","12977.54","2016-06-30","2016-11-11 15:30:33",89,4
"employee22","PROBATIONARY","1","2016-06-30","2",True,"MNL-CSD","EQUIPMENT","12977.54","2016-06-30","2016-11-11 15:30:33",89,4
"employee644","PROBATIONARY","1","2016-08-09","2",True,"MNL-CSD","EQUIPMENT","12977.54","2016-08-09","2016-11-11 15:30:33",89,4
"employee2031","REGULAR","1","2011-09-29","2",True,"MNL-CSD","EQUIPMENT","21600","2011-09-29","2016-11-11 15:30:33",89,4
"employee1071","REGULAR","20","2011-10-17","2",False,"SKPI-CP","CP","20140","2015-04-28","2016-12-21 14:41:19",18,16
"employee97","REGULAR","1","2012-07-02","2",True,"MNL-CSD","ADMIN","12546.07","2012-07-02","2016-11-11 15:30:26",93,4
"employee630","REGULAR","1","2011-10-07","2",True,"MNL-CSD","DOMESTIC","27560","2011-10-07","2016-12-27 10:32:42",199,10
"employee26","REGULAR","1","2011-10-11","2",True,"MNL-CSD","INTERNATIONAL","17280","2011-10-11","2016-11-11 15:30:34",93,4
"employee1053","REGULAR","1","2012-08-16","2",True,"SKPI-CF","CF","21200","2012-08-16","2016-12-21 14:28:19",62,10
"employee786","PROBATIONARY","1","2016-02-24","2",True,"MNL-RMP","MNL-RMP","12977.54","2016-02-24","2017-01-06 17:39:59",123,4
"employee1306","REGULAR","6","2011-10-01","2",False,"MNL-GEM","MNL-GEM","23","2016-04-30","2016-12-08 15:29:32",116,4
"employee1816","REGULAR","1","2011-10-12","2",True,"MNL-CSD","INTERNATIONAL","16960","2011-10-12","2016-11-11 15:30:34",93,4
"employee1783","REGULAR","1","2013-05-25","2",True,"MNL-CSD","INTERNATIONAL","12546.07","2013-05-25","2016-11-11 15:30:34",93,4
"employee662","REGULAR","1","2016-03-01","2",True,"MNL-CSD","INTERNATIONAL","12546.07","2016-03-01","2016-11-11 15:30:34",93,4
"employee639","REGULAR","1","2012-10-08","2",True,"MNL-CSD","DOMESTIC","12546.07","2012-10-08","2016-12-27 10:35:04",94,4
"employee14","REGULAR","1","2011-09-30","2",True,"MNL-CBS","MNL-CBS","21600","2011-09-30","2016-11-11 15:30:35",48,4
"employee577","REGULAR","1","2011-10-01","2",True,"MNL-CBS","MNL-CBS","16960","2011-10-01","2016-11-11 15:30:35",83,4
"employee1807","REGULAR","1","2011-10-01","2",False,"MNL-PSD","MNL-PSD","26199.83","2011-10-01","2018-12-14 14:28:34",161,4
"employee2031","REGULAR","1","2011-09-29","2",True,"MNL-CSD","EQUIPMENT","24959.83","2011-09-29","2018-12-14 14:16:36",89,4
"employee97","REGULAR","1","2012-07-02","2",True,"MNL-CSD","ADMIN","12546.07","2012-07-02","2016-12-27 10:33:59",94,4
"employee1767","REGULAR","1","2011-10-01","2",True,"MNL-CBS","MNL-CBS","26500","2011-10-01","2016-11-11 15:30:35",85,10
"employee25","REGULAR","1","2015-06-03","2",True,"SLPI-AF","ACCTNG","13657","2015-06-03","2017-01-06 17:40:06",67,4
"employee107","REGULAR","1","2015-07-10","2",True,"SLPI-AF","ACCTNG","14339","2015-07-10","2017-01-06 17:40:29",143,4
"employee1760","REGULAR","1","2011-09-19","2",True,"MNL-CSD","INTERNATIONAL","21200","2011-09-19","2016-11-11 15:30:34",93,4
"employee1760","REGULAR","1","2011-09-19","2",True,"MNL-CSD","INTERNATIONAL","21200","2011-09-19","2016-12-27 10:34:33",94,4
"employee560","CONTRACTUAL","1","2016-07-16","2",True,"MNL-CBS","MNL-CBS","29680","2011-10-08","2016-11-11 15:30:36",95,10
"employee574","REGULAR","1","2015-05-02","2",True,"MNL-CBS","MNL-CBS","12977.54","2015-05-02","2016-11-11 15:30:35",123,4
"employee613","REGULAR","1","2012-01-20","2",True,"MNL-CBS","MNL-CBS","23320","2012-01-20","2016-11-11 15:30:36",95,10
"employee566","REGULAR","1","2011-10-04","2",True,"MNL-CBS","MNL-CBS","16640","2011-10-04","2016-11-11 15:30:36",83,4
"employee208","REGULAR","1","2012-03-15","2",True,"MNL-GEM","MNL-GEM","16800","2012-03-15","2016-11-11 15:30:36",150,4
"employee102","REGULAR","1","2012-06-06","2",True,"MNL-GEM","MNL-GEM","18360","2012-06-06","2016-11-11 15:30:36",116,4
"employee3085","REGULAR","1","2014-06-01","2",True,"MNL-GEM","MNL-GEM","13317","2014-06-01","2016-11-11 15:30:36",117,4
"employee3250","REGULAR","1","2011-10-01","2",True,"MNL-GEM","MNL-GEM","23760","2011-10-01","2016-11-11 15:30:36",116,4
"employee2063","REGULAR","1","2011-10-01","2",True,"MNL-GEM","MNL-GEM","18360","2011-10-01","2016-11-11 15:30:36",116,4
"employee732","REGULAR","1","2011-10-01","2",True,"MNL-GEM","MNL-GEM","23320","2011-10-01","2016-11-11 15:30:37",116,4
"employee2067","REGULAR","1","2011-10-05","2",True,"MNL-GEM","MNL-GEM","18360","2011-10-05","2016-11-11 15:30:37",116,4
"employee3056","REGULAR","1","2011-10-01","2",True,"MNL-GEM","MNL-GEM","46440","2011-10-01","2016-11-11 15:30:37",72,3
"employee1546","PROBATIONARY","1","2016-06-06","2",True,"MNL-GEM","MNL-GEM","13317","2016-06-06","2016-11-11 15:30:37",118,4
"employee761","PROBATIONARY","1","2016-05-20","2",True,"MNL-GEM","MNL-GEM","12977.54","2016-05-20","2016-11-11 15:30:37",44,4
"employee2046","PROBATIONARY","1","2016-03-16","2",True,"MNL-GEM","MNL-GEM","14500","2016-03-16","2016-11-11 15:30:37",116,4
"employee611","REGULAR","1","2012-02-01","2",True,"MNL-CSD","DOMESTIC","25000","2012-02-01","2016-12-27 10:36:01",199,10
"employee3252","REGULAR","1","2013-10-21","2",True,"MNL-CSD","EQUIPMENT","13657","2013-10-21","2016-11-11 15:30:33",89,4
"employee3026","PROBATIONARY","1","2016-07-18","2",True,"MNL-GEM","MNL-GEM","12977.54","2016-07-18","2016-11-11 15:30:37",44,4
"employee759","PROBATIONARY","1","2016-07-18","2",True,"MNL-GEM","MNL-GEM","12977.54","2016-07-18","2016-11-11 15:30:37",44,4
"employee3031","REGULAR","1","2011-10-01","2",True,"MNL-PSD","MNL-PSD","23320","2011-10-01","2016-11-11 15:30:38",105,4
"employee744","REGULAR","1","2011-10-10","2",True,"MNL-PSD","MNL-PSD","23320","2011-10-10","2016-11-11 15:30:38",105,4
"employee3232","REGULAR","1","2011-10-07","2",True,"MNL-PSD","MNL-PSD","26500","2011-10-07","2016-11-11 15:30:38",146,10
"employee135","REGULAR","1","2011-10-07","2",True,"MNL-PSD","MNL-PSD","12546.07","2011-10-07","2016-11-11 15:30:38",100,4
"employee1807","REGULAR","1","2011-10-01","2",True,"MNL-PSD","MNL-PSD","23760","2011-10-01","2016-11-11 15:30:38",161,4
"employee181","REGULAR","1","2011-12-15","2",True,"MNL-PSD","MNL-PSD","27000","2011-12-15","2016-11-11 15:30:38",146,10
"employee748","REGULAR","1","2011-10-12","2",True,"MNL-PSD","MNL-PSD","23760","2011-10-12","2016-11-11 15:30:38",105,4
"employee3013","REGULAR","1","2011-10-01","2",True,"MNL-PSD","MNL-PSD","42120","2011-10-01","2016-11-11 15:30:38",98,18
"employee736","REGULAR","1","2011-10-15","2",True,"MNL-PSD","MNL-PSD","30240","2011-10-15","2016-11-11 15:30:38",146,10
"employee1896","REGULAR","1","2011-10-01","2",True,"MNL-PSD","MNL-PSD","42120","2011-10-01","2016-11-11 15:30:38",109,3
"employee1816","REGULAR","1","2011-10-12","2",True,"MNL-CSD","INTERNATIONAL","16960","2011-10-12","2016-12-21 14:56:13",94,4
