idno,description,balance,refresh_accrual,year_updated,used,procyear
employee1005,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1005,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1005,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1005,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1005,SICK LEAVE,81,TRUE,2017,54,2017
employee1005,VACATION LEAVE - REGULAR,108,TRUE,2019,27,2019
employee1005,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1005,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1005,SICK LEAVE,0,TRUE,2018,36,2018
employee1005,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1006,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1006,SICK LEAVE,0,TRUE,2018,45,2018
employee1006,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1006,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1006,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1006,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1006,VACATION LEAVE - REGULAR,117,TRUE,2019,18,2019
employee1006,VACATION LEAVE - REGULAR,0,TRUE,2018,117,2018
employee1006,VACATION LEAVE - REGULAR,31.5,TRUE,2017,99,2017
employee1006,SICK LEAVE,36,TRUE,2017,90,2017
employee1006,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1006,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1007,VACATION LEAVE - REGULAR,0,TRUE,2018,108,2018
employee1007,VACATION LEAVE - REGULAR,0,TRUE,2017,90,2017
employee1007,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1007,SICK LEAVE,63,TRUE,2017,36,2017
employee1007,SICK LEAVE,0,TRUE,2018,18,2018
employee1007,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1007,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1007,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1007,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1007,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1007,VACATION LEAVE - REGULAR,135,TRUE,2019,0,2019
employee1007,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1008,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1008,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1008,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1008,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1008,SICK LEAVE,126,TRUE,2017,9,2017
employee1008,VACATION LEAVE - REGULAR,117,TRUE,2019,18,2019
employee1008,VACATION LEAVE - REGULAR,99,TRUE,2017,27,2017
employee1008,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1008,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1008,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1008,VACATION LEAVE - REGULAR,54,TRUE,2018,81,2018
employee1008,SICK LEAVE,135,TRUE,2018,0,2018
employee1009,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1009,VACATION LEAVE - REGULAR,135,TRUE,2019,0,2019
employee1009,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1009,SICK LEAVE,63,TRUE,2018,72,2018
employee1009,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1009,SICK LEAVE,18,TRUE,2017,9,2017
employee101,MAGNA CARTA FOR WOMEN,540,TRUE,2018,0,2018
employee101,VACATION LEAVE - REGULAR,72,TRUE,2017,18,2017
employee101,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee101,SICK LEAVE,90,TRUE,2017,9,2017
employee101,VACATION LEAVE - REGULAR,0,TRUE,2018,126,2018
employee101,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee101,SICK LEAVE,54,TRUE,2018,81,2018
employee101,VACATION LEAVE - REGULAR,135,TRUE,2019,0,2019
employee101,SICK LEAVE,11.25,TRUE,2019,0,2019
employee101,MAGNA CARTA FOR WOMEN,540,TRUE,2019,0,2019
employee1010,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1010,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1010,SICK LEAVE,0,TRUE,2018,18,2018
employee1010,VACATION LEAVE - REGULAR,117,TRUE,2019,9,2019
employee1010,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1010,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1010,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1010,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1010,SOLO PARENT LEAVE,63,TRUE,2017,0,2017
employee1010,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1010,SICK LEAVE,67.5,FALSE,2017,0,2017
employee1010,VACATION LEAVE - REGULAR,9,TRUE,2017,54,2017
employee1010,SICK LEAVE,10,TRUE,2016,0,2016
employee1010,VACATION LEAVE - REG LESS THAN A YR,10,TRUE,2016,0,2016
employee1011,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1011,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1011,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1011,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1011,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1011,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1011,SICK LEAVE,0,TRUE,2018,27,2018
employee1011,SICK LEAVE,108,TRUE,2017,9,2017
employee1011,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1011,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1011,VACATION LEAVE - REGULAR,117,TRUE,2019,18,2019
employee1012,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1012,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1012,VACATION LEAVE - REGULAR,49.5,TRUE,2017,36,2017
employee1012,SICK LEAVE,0,TRUE,2018,9,2018
employee1012,SICK LEAVE,40.5,FALSE,2017,18,2017
employee1012,VACATION LEAVE - REGULAR,0,TRUE,2018,112.5,2018
employee1012,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1012,VACATION LEAVE - REGULAR,49.5,TRUE,2019,18,2019
employee1012,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1012,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1012,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1013,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1013,VACATION LEAVE - REGULAR,117,TRUE,2019,18,2019
employee1013,SICK LEAVE,2.25,TRUE,2019,9,2019
employee1013,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1013,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1013,SICK LEAVE,0,TRUE,2018,36,2018
employee1013,VACATION LEAVE - REGULAR,0,TRUE,2017,76.5,2017
employee1013,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1013,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1013,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1013,SICK LEAVE,63,FALSE,2017,63,2017
employee1013,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1014,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1014,VACATION LEAVE - REGULAR,0,TRUE,2017,72,2017
employee1014,VACATION LEAVE - REGULAR,81,TRUE,2019,54,2019
employee1014,SICK LEAVE,0,TRUE,2017,112.5,2017
employee1014,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1014,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1014,SICK LEAVE,0,TRUE,2018,90,2018
employee1014,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1014,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1014,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1014,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1014,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1015,SICK LEAVE,81,TRUE,2017,9,2017
employee1015,VACATION LEAVE - REGULAR,108,TRUE,2019,27,2019
employee1015,VACATION LEAVE - REGULAR,9,TRUE,2017,54,2017
employee1015,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1015,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1015,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1015,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1015,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1015,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1015,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1015,PATERNITY LEAVE,45,TRUE,2018,18,2018
employee1016,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1016,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1016,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1016,SICK LEAVE,0,TRUE,2018,36,2018
employee1016,VACATION LEAVE - REGULAR,117,TRUE,2019,18,2019
employee1016,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1016,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1016,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1016,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1016,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1016,SICK LEAVE,27,TRUE,2017,72,2017
employee1017,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1017,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1017,VACATION LEAVE - REGULAR,0,TRUE,2018,90,2018
employee1017,SICK LEAVE,135,TRUE,2017,0,2017
employee1017,SICK LEAVE,0,TRUE,2018,18,2018
employee1017,VACATION LEAVE - REGULAR,18,TRUE,2017,54,2017
employee1017,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1017,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1017,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1017,VACATION LEAVE - REGULAR,135,TRUE,2019,0,2019
employee1017,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1017,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1018,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1018,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1018,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1018,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1018,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1018,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1018,SICK LEAVE,63,TRUE,2017,45,2017
employee1018,SICK LEAVE,0,TRUE,2018,36,2018
employee1018,VACATION LEAVE - REGULAR,0,TRUE,2017,117,2017
employee1018,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1018,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1018,VACATION LEAVE - REGULAR,108,TRUE,2019,27,2019
employee1019,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1019,VACATION LEAVE - REGULAR,117,TRUE,2019,18,2019
employee1019,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1019,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1019,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1019,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1019,SICK LEAVE,69.75,TRUE,2017,2.25,2017
employee1019,SICK LEAVE,0,TRUE,2018,27,2018
employee1019,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1019,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1019,SICK LEAVE,11.25,TRUE,2019,0,2019
employee102,SICK LEAVE,135,TRUE,2018,0,2018
employee102,SICK LEAVE,11.25,TRUE,2019,0,2019
employee102,VACATION LEAVE - REGULAR,135,TRUE,2019,0,2019
employee102,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee102,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee102,SICK LEAVE,135,TRUE,2017,0,2017
employee102,VACATION LEAVE - REGULAR,9,TRUE,2017,90,2017
employee1020,VACATION LEAVE - REGULAR,117,TRUE,2019,18,2019
employee1020,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1020,SICK LEAVE,0,TRUE,2018,9,2018
employee1020,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1020,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1020,VACATION LEAVE - REGULAR,0,TRUE,2017,99,2017
employee1020,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1020,SICK LEAVE,99,TRUE,2017,18,2017
employee1020,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1020,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1020,SICK LEAVE,2.25,TRUE,2019,0,2019
employee1020,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1021,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1021,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1021,VACATION LEAVE - REGULAR,27,TRUE,2017,90,2017
employee1021,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1021,SICK LEAVE,45,TRUE,2017,63,2017
employee1021,VACATION LEAVE - REGULAR,90,TRUE,2019,45,2019
employee1021,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1021,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1021,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1021,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1021,SICK LEAVE,0,TRUE,2018,72,2018
employee1021,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1022,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1022,SICK LEAVE,135,TRUE,2018,0,2018
employee1022,VACATION LEAVE - REGULAR,135,TRUE,2019,0,2019
employee1022,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1022,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1022,VACATION LEAVE - REGULAR,49.5,TRUE,2018,85.5,2018
employee1022,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1022,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1022,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1022,VACATION LEAVE - REGULAR,45,TRUE,2017,49.5,2017
employee1022,SICK LEAVE,135,TRUE,2017,0,2017
employee1023,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1023,SOLO PARENT LEAVE,63,TRUE,2017,0,2017
employee1023,VACATION LEAVE - REGULAR,0,TRUE,2018,126,2018
employee1023,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1023,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1023,SICK LEAVE,99,TRUE,2017,72,2017
employee1023,SICK LEAVE,0,TRUE,2018,54,2018
employee1023,VACATION LEAVE - REG LESS THAN A YR,0,TRUE,2017,18,2017
employee1023,VACATION LEAVE - REGULAR,135,TRUE,2019,0,2019
employee1023,VACATION LEAVE - REGULAR,58.5,TRUE,2017,99,2017
employee1023,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1023,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1023,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1024,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1024,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1024,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1024,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1024,SICK LEAVE,54,TRUE,2017,36,2017
employee1024,VACATION LEAVE - REGULAR,117,TRUE,2019,18,2019
employee1024,VACATION LEAVE - REGULAR,4.5,TRUE,2017,103.5,2017
employee1024,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1024,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1024,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1024,SICK LEAVE,0,TRUE,2018,58.5,2018
employee1024,VACATION LEAVE - REGULAR,9,TRUE,2018,126,2018
employee1025,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1025,SICK LEAVE,0,TRUE,2018,72,2018
employee1025,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1025,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1025,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1025,VACATION LEAVE - REGULAR,117,TRUE,2019,18,2019
employee1025,SOLO PARENT LEAVE,63,TRUE,2017,0,2017
employee1025,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1025,VACATION LEAVE - REGULAR,36,TRUE,2017,63,2017
employee1025,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1025,VACATION LEAVE - REG LESS THAN A YR,0,FALSE,2017,9,2017
employee1025,SICK LEAVE,135,FALSE,2017,0,2017
employee1025,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1025,SICK LEAVE,10,TRUE,2016,0,2016
employee1025,VACATION LEAVE - REG LESS THAN A YR,10,TRUE,2016,0,2016
employee1026,SICK LEAVE,0,TRUE,2018,58.5,2018
employee1026,SICK LEAVE,90,TRUE,2017,27,2017
employee1026,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1026,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1026,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1026,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1026,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1026,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1026,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1026,VACATION LEAVE - REGULAR,72,TRUE,2019,0,2019
employee1027,SICK LEAVE,0,TRUE,2018,18,2018
employee1027,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1027,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1027,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1027,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1027,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1027,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1027,VACATION LEAVE - REGULAR,99,TRUE,2019,36,2019
employee1027,SOLO PARENT LEAVE,63,TRUE,2017,0,2017
employee1027,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1027,VACATION LEAVE - REGULAR,0,TRUE,2017,108,2017
employee1027,SICK LEAVE,13.5,FALSE,2017,72,2017
employee1027,SICK LEAVE,10,TRUE,2016,0,2016
employee1027,VACATION LEAVE - REG LESS THAN A YR,10,TRUE,2016,0,2016
employee1028,SICK LEAVE,2.25,TRUE,2019,0,2019
employee1028,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1028,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1028,VACATION LEAVE - REGULAR,0,TRUE,2017,108,2017
employee1028,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1028,SICK LEAVE,63,FALSE,2017,72,2017
employee1028,VACATION LEAVE - REGULAR,135,TRUE,2019,0,2019
employee1028,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1028,SICK LEAVE,0,TRUE,2018,108,2018
employee1028,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1028,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1028,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1029,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1029,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1029,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1029,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1029,SICK LEAVE,13.5,TRUE,2017,112.5,2017
employee1029,SICK LEAVE,0,TRUE,2018,45,2018
employee1029,VACATION LEAVE - REGULAR,0,TRUE,2017,76.5,2017
employee1029,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1029,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1029,VACATION LEAVE - REGULAR,108,TRUE,2019,27,2019
employee1029,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1029,SICK LEAVE,11.25,TRUE,2019,0,2019
employee103,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee103,VACATION LEAVE - REGULAR,126,TRUE,2019,9,2019
employee103,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee103,MAGNA CARTA FOR WOMEN,540,TRUE,2019,0,2019
employee103,VACATION LEAVE - REGULAR,0,TRUE,2018,144,2018
employee103,SICK LEAVE,2.25,TRUE,2019,0,2019
employee103,MAGNA CARTA FOR WOMEN,540,TRUE,2018,0,2018
employee103,SICK LEAVE,58.5,TRUE,2017,4.5,2017
employee103,SICK LEAVE,36,TRUE,2018,99,2018
employee103,VACATION LEAVE - REGULAR,9,TRUE,2017,90,2017
employee1030,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1030,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1030,SICK LEAVE,0,TRUE,2018,99,2018
employee1030,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1030,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1030,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1030,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1030,SICK LEAVE,72,TRUE,2017,54,2017
employee1030,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1030,VACATION LEAVE - REGULAR,0,TRUE,2017,99,2017
employee1030,SICK LEAVE,11.25,TRUE,2019,0,2019
employee1030,VACATION LEAVE - REGULAR,117,TRUE,2019,18,2019
employee1031,SICK LEAVE,0,FALSE,2017,90,2017
employee1031,PATERNITY LEAVE,63,TRUE,2019,0,2019
employee1031,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1031,SICK LEAVE,2.25,TRUE,2019,0,2019
employee1031,VACATION LEAVE - REGULAR,0,TRUE,2018,126,2018
employee1031,SOLO PARENT LEAVE,63,TRUE,2019,0,2019
employee1031,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1031,SICK LEAVE,0,TRUE,2018,90,2018
employee1031,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1031,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1031,VACATION LEAVE - REGULAR,117,TRUE,2019,0,2019
employee1032,PATERNITY LEAVE,63,TRUE,2017,0,2017
employee1032,SOLO PARENT LEAVE,63,TRUE,2018,0,2018
employee1032,SICK LEAVE,117,TRUE,2017,18,2017
employee1032,VACATION LEAVE - REGULAR,0,TRUE,2018,135,2018
employee1032,VACATION LEAVE - REGULAR,120,TRUE,2016,0,2016
employee1032,PATERNITY LEAVE,63,TRUE,2018,0,2018
employee1032,SICK LEAVE,11.25,TRUE,2019,0,2019
